| 22%   42C    P2    85W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    86W / 250W |   2029MiB / 12287MiB |     21%      Default |
| 22%   42C    P2    86W / 250W |   2029MiB / 12287MiB |     13%      Default |
| 22%   42C    P2    85W / 250W |   2029MiB / 12287MiB |     16%      Default |
| 22%   42C    P2    85W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    76W / 250W |   2029MiB / 12287MiB |     18%      Default |
| 22%   42C    P2    74W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    74W / 250W |   2029MiB / 12287MiB |      9%      Default |
| 22%   42C    P2    80W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    74W / 250W |   2029MiB / 12287MiB |     16%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    74W / 250W |   2029MiB / 12287MiB |     17%      Default |
| 22%   42C    P2    76W / 250W |   2029MiB / 12287MiB |     12%      Default |
| 22%   42C    P2    76W / 250W |   2029MiB / 12287MiB |     26%      Default |
| 22%   42C    P2    78W / 250W |   2029MiB / 12287MiB |     38%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   42C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
| 22%   41C    P2    73W / 250W |   2029MiB / 12287MiB |      0%      Default |
