| 22%   46C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   46C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   45C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   46C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   45C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   45C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   45C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   45C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   45C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   45C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   45C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   45C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
| 22%   45C    P8    16W / 250W |  12263MiB / 12287MiB |      0%      Default |
