| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
| 22%   38C    P8    16W / 250W |     23MiB / 12287MiB |      0%      Default |
