  Time           em1                 em2                 em3                 em4                bond0       
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
16:07:27      0.64  39056.35      0.00      0.00  87698.63  44076.11      0.00      0.00  87699.28  83132.46
16:07:28      0.14  45075.56      0.00      0.00  93308.06  48796.23      0.00      0.00  93308.20  93871.79
16:07:29      0.06  47664.49      0.00      0.00  90075.13  46688.61      0.00      0.00  90075.19  94353.10
16:07:30      0.64  47907.40      0.00      0.00  89017.07  47521.10      0.00      0.00  89017.71  95428.50
16:07:31      0.06  48350.62      0.00      0.00  89275.51  48053.96      0.00      0.00  89275.57  96404.58
16:07:32      0.48  46638.29      0.00      0.00  89425.25  47009.65      0.00      0.00  89425.73  93647.94
16:07:33      0.64  49214.37      0.00      0.00  100536.9  41831.20      0.00      0.00  100537.5  91045.57
16:07:34      0.48  41795.53      0.00      0.00  98314.82  51397.56      0.00      0.00  98315.30  93193.09
16:07:35      0.40  50602.62      0.00      0.00  100243.7  51336.52      0.00      0.00  100244.1  101939.1
16:07:36      1.71  49980.73      0.00      0.00  98085.36  50756.67      0.00      0.00  98087.07  100737.4
16:07:37      0.87  49929.50      0.00      0.00  92307.58  48017.91      0.00      0.00  92308.45  97947.41
16:07:38      0.74  49479.52      0.00      0.00  99143.76  50637.16      0.00      0.00  99144.50  100116.7
16:07:39      0.94  50470.15      0.00      0.00  106173.6  52937.89      0.00      0.00  106174.6  103408.0
16:07:40      0.83  52178.67      0.00      0.00  97810.55  49083.74      0.00      0.00  97811.38  101262.4
16:07:41      0.64  50545.30      0.00      0.00  102819.5  52709.41      0.00      0.00  102820.2  103254.7
16:07:42      0.12  52062.76      0.00      0.00  103558.3  52319.85      0.00      0.00  103558.4  104382.6
16:07:43      0.64  53642.82      0.00      0.00  101522.7  53125.15      0.00      0.00  101523.4  106768.0
16:07:44      1.21  50568.25      0.00      0.00  98394.47  52302.70      0.00      0.00  98395.68  102870.9
16:07:45      0.06  51700.88      0.00      0.00  93387.59  50539.06      0.00      0.00  93387.65  102239.9
16:07:46      0.06  51418.30      0.00      0.00  92455.39  52109.09      0.00      0.00  92455.46  103527.4
16:07:47      0.64  41291.75      0.00      0.00  23872.90   8300.66      0.00      0.00  23873.54  49592.40
16:07:48      0.14   1624.85      0.00      0.00  25976.57   1837.89      0.00      0.00  25976.71   3462.74
16:07:49      0.55   1836.84      0.00      0.00  31522.47   1959.44      0.00      0.00  31523.01   3796.28
16:07:50      0.79   1500.69      0.00      0.00  48613.58    572.64      0.00      0.00  48614.37   2073.34
16:07:51      0.06    498.41      0.00      0.00  27926.17    495.17      0.00      0.00  27926.24    993.58
16:07:52      0.36    760.40      0.00      0.00  27036.47   1272.03      0.00      0.00  27036.83   2032.43
16:07:53      0.40   1444.03      0.00      0.00  33463.21   1751.46      0.00      0.00  33463.61   3195.49
